,file,class,x1,y1,x2,y2,score
21,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,grave_cross_section,24.872665,244.556,317.13367,322.76614,0.9390569
22,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,grave_cross_section,44.075638,418.40115,264.71356,522.34705,0.91466564
23,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,scale,130.88461,321.1871,207.45828,336.39755,0.8437067
24,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,318.53845,366.12537,351.23737,373.45288,0.6526334
25,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,323.96173,76.379745,354.66565,85.274506,0.6289253
26,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,331.0045,369.35892,352.65012,378.1498,0.5988196
27,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,scale,119.780396,528.0062,187.73642,548.015,0.58718616
28,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,315.89548,369.95782,343.00888,377.6974,0.5812467
29,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,326.22034,80.451416,355.75476,90.56688,0.5241529
30,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skeleton_left_side,334.55618,102.83541,427.17465,245.05887,0.49035773
31,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skull,363.90894,122.94358,389.61774,145.69394,0.45401463
32,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,goods,399.43033,204.5936,433.87088,232.54996,0.37347907
33,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skull,356.79678,420.94257,389.58054,447.47046,0.37206256
34,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_up,351.50156,78.42419,370.879,90.38476,0.36906338
35,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skeleton_left_side,299.07593,376.58743,438.7221,550.25464,0.36309397
36,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,322.33804,361.88446,347.06943,370.8703,0.28670636
37,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_up,372.80203,73.18798,388.53604,86.90104,0.28139362
38,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skull,362.69153,419.15405,387.68622,436.5833,0.276218
39,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skeleton_right_side,325.81488,420.4415,403.0492,531.91486,0.2197418
40,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,351.50156,78.42419,370.879,90.38476,0.21254642
41,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,316.0763,78.5119,344.53998,88.87164,0.17677747
42,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_up,368.3455,70.250725,384.65146,83.69924,0.15286645
43,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,grave,126.86235,74.746544,460.48694,304.12286,0.13574794
44,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_up,341.38828,72.234276,362.1367,84.39243,0.13270147
45,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,arrow_right,341.1289,363.31967,360.40436,374.8508,0.12865838
46,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,skeleton,347.94193,127.17069,437.71274,259.63245,0.11462971
47,Dobes & Limbursky_2013_Vlineves-KSK-019.jpg,scale,359.39072,628.9368,418.91116,644.1629,0.11100802
48,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave,29.524185,453.74084,241.95354,606.97205,0.99989486
49,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave_cross_section,251.18575,214.30472,473.14545,255.3117,0.9998153
50,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave,44.83356,102.52201,129.87064,163.5763,0.9996948
51,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave,54.476875,283.06183,257.42648,393.49152,0.9968533
52,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave_cross_section,50.506866,413.53336,247.09756,435.72733,0.9925322
53,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave,262.3021,76.71351,471.62186,208.2605,0.98071426
54,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_left_side,296.98596,119.30227,405.28162,177.48924,0.9414156
55,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,arrow_up,448.3482,76.73683,459.94464,101.363785,0.93758166
56,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,117.88083,398.8962,184.33704,409.46463,0.8947823
57,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_left_side,110.876526,320.55478,209.81882,366.21054,0.8935313
58,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,arrow_up,452.2012,74.36992,464.32382,101.99045,0.88980365
59,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave_cross_section,37.17466,617.3586,230.84778,639.8067,0.8838291
60,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_left_side,84.41672,508.1351,186.20184,564.6024,0.82273376
61,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,arrow_up,124.71992,106.29988,134.0693,131.31554,0.81600124
62,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,arrow_up,204.98636,462.52817,226.9866,485.55783,0.69662505
63,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,147.68721,599.8458,221.90895,612.8207,0.6919496
64,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,arrow_up,248.64879,299.66788,258.4882,324.1887,0.62916654
65,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,45.918194,170.10966,120.83717,182.02669,0.5873693
66,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,goods,147.14677,475.291,166.67613,493.10587,0.57901436
67,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skull,175.0743,336.07312,198.14503,357.3028,0.5340747
68,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skull,154.23499,508.3274,186.48544,536.12634,0.48099092
69,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,71.432045,247.97879,138.87497,256.4495,0.45703223
70,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,goods,422.52948,132.91705,443.89758,151.13354,0.3716295
71,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,74.242546,256.47385,144.98215,263.7648,0.37031892
72,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,goods,420.5485,124.46828,439.16092,146.53181,0.36655948
73,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,goods,141.68303,481.58176,163.6166,498.209,0.3439118
74,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_right_side,300.7678,117.18323,409.7133,184.95377,0.3412508
75,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave_cross_section,38.97587,220.01424,178.00601,255.03978,0.2930423
76,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,335.66492,262.7927,396.58514,276.8599,0.2744662
77,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,arrow_up,436.04465,80.70169,452.73538,99.74403,0.22772285
78,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skull,152.67902,332.70407,200.10571,360.18436,0.18727838
79,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_right_side,57.801777,110.99885,122.26616,157.6229,0.18208185
80,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,goods,422.78793,138.61957,441.9863,160.39203,0.17508899
81,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,scale,251.70213,387.60556,311.9699,401.01987,0.15257855
82,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton,56.789116,113.24008,116.99731,157.70206,0.13728562
83,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton,81.33299,499.30698,188.52397,573.9542,0.12798573
84,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,goods,428.7897,108.62915,449.58524,136.14908,0.10755867
85,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,grave_cross_section,45.918194,170.10966,120.83717,182.02669,0.10597005
86,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_left_side,56.789116,113.24008,116.99731,157.70206,0.10334984
87,Dobes & Limbursky_2013_Vlineves-KSK-021.jpg,skeleton_left_side,74.47899,299.6436,237.91545,387.6533,0.10254715
88,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,43.12168,463.74295,220.57977,580.308,0.9999819
89,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,287.70264,287.30515,475.5348,402.86734,0.99996114
90,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,270.58368,152.29703,465.38898,235.13452,0.9998505
91,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,51.325493,76.49445,258.77267,226.63934,0.999767
92,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,298.89145,536.0211,467.55234,619.12244,0.99922407
93,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,41.87603,600.5081,226.0715,643.68915,0.9991968
94,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,42.799698,303.36935,227.20909,391.25327,0.9978023
95,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,348.98154,238.117,409.8491,249.55188,0.9928271
96,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,47.811058,239.1117,260.23514,271.23398,0.99157953
97,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,110.5474,394.67618,163.20683,409.3455,0.9910176
98,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,295.17395,631.21936,466.11584,645.50916,0.9837763
99,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,45.302155,410.02762,229.64389,433.43527,0.97871405
100,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,123.565384,226.32306,188.09584,238.77298,0.97676826
101,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,103.02993,585.8384,166.79996,596.5431,0.95537543
102,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,387.97784,619.38165,464.6814,630.01276,0.93768746
103,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,339.97897,406.9018,404.54123,418.93567,0.9281883
104,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,88.62889,498.20016,180.46547,551.36206,0.91156614
105,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,441.45883,541.6716,458.3397,564.31464,0.91060805
106,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,310.44855,330.4794,417.8239,372.73984,0.84967554
107,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,338.39233,410.5038,416.77905,423.0756,0.8419237
108,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,194.4603,468.61676,213.22711,486.0827,0.83851683
109,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,171.01462,138.73924,211.26834,164.74495,0.8160514
110,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,447.4206,295.22162,468.37988,318.13818,0.80094206
111,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,313.8052,180.46002,419.37717,211.37299,0.7759615
112,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,98.170586,128.74007,192.58203,184.13744,0.72023
113,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,276.95053,423.98688,449.96805,442.02283,0.7149386
114,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,445.7135,152.35469,457.81152,174.80812,0.7015028
115,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,282.9641,253.43681,460.5952,270.59332,0.6943115
116,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,238.05788,77.27048,250.80061,103.13812,0.67195904
117,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,152.70067,334.1996,190.93523,354.57867,0.6415817
118,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,446.9557,539.26605,459.5749,557.6175,0.55561537
119,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_right_side,336.623,563.21246,424.79877,593.59235,0.52829504
120,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,210.05206,306.47098,220.44931,331.16214,0.4836179
121,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,318.19473,189.53882,343.88138,212.46442,0.46263614
122,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave,76.26686,486.934,188.57176,562.80676,0.45704103
123,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,105.90793,329.52185,188.04565,360.8324,0.3281814
124,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,146.5279,506.29285,176.55032,534.70215,0.26548797
125,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,336.623,563.21246,424.79877,593.59235,0.25827155
126,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,goods,131.16945,101.85462,148.45259,115.93308,0.255534
127,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,185.83498,468.73175,206.554,486.72583,0.20884156
128,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,157.48915,511.23657,183.06712,534.07007,0.20466389
129,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_right_side,314.23514,179.12564,424.06332,214.79523,0.1964031
130,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,314.66696,335.1156,339.07706,359.1906,0.19615184
131,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,173.78938,138.5953,198.09401,156.39832,0.18175486
132,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,443.30664,148.25685,455.89398,166.23991,0.16986786
133,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,437.04172,293.15863,460.07492,312.28735,0.16957515
134,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,goods,166.95445,117.43876,187.23454,131.60767,0.15943576
135,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,431.88528,304.39523,444.86636,319.7961,0.15724202
136,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,162.8282,336.2117,181.9576,352.10074,0.14201707
137,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_right_side,75.01198,490.98038,181.81963,552.3494,0.14132985
138,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,scale,93.87762,401.69226,178.79745,414.37482,0.14125958
139,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skull,120.580864,502.85495,180.30331,538.1752,0.13774054
140,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_left_side,69.85428,480.2254,196.08823,568.3785,0.13404506
141,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,200.58174,475.13202,214.24098,491.45105,0.13143139
142,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,arrow_up,442.62994,152.91171,453.57635,179.13571,0.12628162
143,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,skeleton_right_side,125.32095,130.87526,205.60031,170.3315,0.11742746
144,Dobes & Limbursky_2013_Vlineves-KSK-023.jpg,grave_cross_section,285.37637,246.19267,459.6719,263.8169,0.10945072
145,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,grave,45.929604,78.140366,223.52057,208.66844,0.999974
146,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,grave,42.062683,515.35596,211.76701,608.3185,0.9994072
147,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,scale,123.21635,611.9206,187.02962,623.17487,0.9787371
148,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,grave_cross_section,47.760155,221.79321,222.41281,255.13977,0.95071197
149,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,arrow_up,198.14993,518.0363,206.70032,536.9997,0.9147064
150,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,scale,107.18994,210.9182,172.65329,222.75914,0.909218
151,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,grave_cross_section,54.63217,627.6826,207.80295,644.4669,0.8366967
152,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,arrow_up,200.84175,512.0613,209.37175,534.5481,0.7416737
153,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,arrow_up,211.20888,90.24466,221.14952,116.43355,0.70999646
154,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,87.62623,518.31085,114.810616,544.7325,0.46673608
155,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,123.569595,526.64655,141.48482,544.11395,0.4322614
156,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,92.14254,537.9235,114.380714,558.0446,0.40388057
157,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,grave_cross_section,94.747536,624.32605,191.11514,636.62427,0.3895467
158,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,scale,116.29413,199.70795,166.8292,211.34421,0.3246145
159,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,86.10161,99.53369,106.52162,120.97981,0.30644527
160,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,134.57542,526.4874,158.0164,544.3253,0.28951105
161,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,79.69887,578.6594,100.93811,597.0326,0.26480278
162,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,109.09955,521.9983,133.72089,547.09937,0.21998256
163,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,83.42962,542.1021,104.96375,564.0041,0.21208617
164,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,120.01283,90.78769,162.40907,128.54475,0.20899586
165,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,scale,94.747536,624.32605,191.11514,636.62427,0.15673189
166,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,169.5518,171.11073,202.20049,195.87502,0.14010899
167,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,85.59199,575.6716,113.80883,594.4797,0.113980986
168,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,143.82697,526.5699,162.28809,537.49506,0.111808755
169,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,91.35203,93.68124,113.01197,118.69222,0.10673194
170,Dobes & Limbursky_2013_Vlineves-KSK-025.jpg,goods,124.68261,193.88289,149.11028,207.86198,0.10204462
171,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,grave,267.47366,93.094025,466.65903,205.35269,0.9997631
172,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,grave,59.297623,76.124725,246.2158,221.12958,0.9966689
173,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,grave_cross_section,47.405846,234.54102,237.14908,257.0298,0.99047625
174,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,grave_cross_section,269.8979,225.70418,469.88385,246.71861,0.99046236
175,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,136.68623,85.74806,205.15962,127.174484,0.9830031
176,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,scale,324.35434,208.87369,388.3143,222.2377,0.96955943
177,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,arrow_up,232.9738,77.7834,246.60112,101.03726,0.9532678
178,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,arrow_up,443.92523,96.50776,456.05212,118.74529,0.88818586
179,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,scale,192.34433,217.70065,248.79782,229.81158,0.8666572
180,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,skeleton_left_side,87.648285,105.91085,199.02737,193.82764,0.86058015
181,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,84.15992,100.06908,102.10204,114.72121,0.7532388
182,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,81.459785,181.34946,106.88485,199.8707,0.7097805
183,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,84.06019,96.09221,99.71424,108.24403,0.6753253
184,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,skull,82.05007,139.03856,108.58556,163.74937,0.595678
185,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,arrow_up,234.88571,101.24088,248.4686,118.04093,0.28177732
186,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,79.29763,164.61903,110.965324,187.77599,0.17055902
187,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,skull,86.94565,145.07593,114.539,171.22955,0.15681358
188,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,77.533325,93.66314,95.89244,109.05898,0.1503232
189,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,skull,73.86239,154.15268,104.31786,185.26205,0.13062552
190,Dobes & Limbursky_2013_Vlineves-KSK-027.jpg,goods,83.47931,143.26875,112.71709,167.62944,0.11784633
191,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave,52.078888,77.558945,234.29922,196.74321,0.99990714
192,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave,311.6705,65.91946,457.25345,173.27844,0.9998596
193,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave,308.9131,504.4037,465.9936,596.0625,0.999673
194,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave_cross_section,41.572144,532.2748,254.3526,564.0929,0.9972972
195,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave_cross_section,272.167,482.74637,469.68054,503.42996,0.99628603
196,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave,263.4172,370.27243,469.7415,480.71573,0.99564326
197,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skeleton_left_side,309.1206,385.96677,429.09125,456.31723,0.99467176
198,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave,39.404144,360.08435,264.92776,521.3716,0.9849657
199,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave_cross_section,48.641495,215.5651,252.26616,238.35065,0.98226464
200,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave_cross_section,301.03592,610.5962,477.6677,647.8971,0.98064786
201,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,scale,327.02512,176.52734,393.03775,190.77979,0.9509208
202,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skeleton_left_side,329.87054,112.338196,444.17365,153.27884,0.928882
203,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,434.7817,68.42988,454.5316,89.0675,0.8974315
204,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,455.20004,514.1584,467.0967,535.19025,0.8611862
205,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,grave_cross_section,305.6366,194.61253,470.3844,214.16267,0.8568473
206,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,446.35632,372.21597,458.37256,395.15225,0.8187977
207,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,238.14005,385.25882,248.63992,414.72012,0.811557
208,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skeleton_left_side,81.2946,430.0054,220.0197,496.07443,0.7593534
209,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,213.74571,81.87303,228.22398,110.352844,0.7108443
210,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,scale,304.17532,598.89746,378.0425,610.0482,0.6850159
211,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skeleton_left_side,358.67184,526.6765,427.7922,568.4429,0.6766766
212,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,goods,355.15878,86.92456,385.43442,112.2262,0.65713423
213,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,scale,380.3164,470.65247,461.08453,482.6402,0.6197194
214,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skull,393.09293,400.27036,421.30264,431.2238,0.4764952
215,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,442.72095,73.01388,460.90796,89.56936,0.45870754
216,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,scale,136.2012,202.20116,213.15561,214.16286,0.42224002
217,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,scale,194.23943,513.8953,256.01828,527.644,0.41437703
218,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,451.34967,375.86545,466.91113,396.32834,0.39639294
219,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skull,175.53253,432.7132,208.40842,459.977,0.38373446
220,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,skull,384.54028,532.5972,429.7149,564.57806,0.3610532
221,Dobes & Limbursky_2013_Vlineves-KSK-029.jpg,arrow_up,447.7043,515.0734,462.26987,534.39484,0.3386333
