Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.",
I16253,I16253,"1943;  Tumulus 14, central grave (grave 91), 28",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2426,63,"658-403 calBCE (2405±20 BP, PSUAMS-7193)",..,Albania_IA,"Çinamak (Norteastern, Kukes District)",Albania,42.020556,20.388611,Repulldown on 3.2M snpset,1240K,1,0.477169,377693,201308,M,n/a (no relatives detected),..,..,93.06,H+152,"[0.980,0.997]",0.119,0.422,ss.half,S16253.Y1.E1.L1,PASS,..,
I12376,I12376,75JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct: SHCal20,2333,127,"736-194 calBCE (2369±52 BP, UGAMS-16601)",..,Argentina_LagunaToro_2400BP,"Southwest of Buenos Aires, Laguna Toro",Argentina,-38.84,-61.42,Repulldown on 3.2M snpset,1240K,1,0.182844,190166,101692,F,n/a (no relatives detected),n/a (female),n/a (female),143.6,A2+(64),"[0.976,0.992]",0.079,0.007,ds.half,S12376.Y1.E1.L1,PASS,..,
I16119,I16119,2359; 2/1 43102,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2286,60,"399-231 calBCE (2280±20 BP, PSUAMS-7164)",..,Armenia_Achaemenid_Hellenistic,"Karmir Blur, necropolis of Teishebaini",Armenia,40.15118,44.44316667,Repulldown on 3.2M snpset,1240K,1,1.219895,559979,301084,M,n/a (no relatives detected),..,..,238.4,U3b2c,"[0.971,0.988]",0.076,0.434,ss.half,S16119.Y1.E1.L1,PASS,damage.ss.half=0.076,
I16116,I16116,2356; 51,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Date(s) on relative I16617,3050,29,1150-1050 BCE,..,Armenia_EIA,Bover Cemetery,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,1.281956,600109,322501,F,n/a (no relatives detected),n/a (female),n/a (female),170.9,H14a,"[0.983,0.999]",0.117,0.012,ss.half,S16116.Y1.E1.L1,PASS,..,
I16117,I16117,2357; 7,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2586,77,"765-489 calBCE (2475±20 BP, PSUAMS-7886)",..,Armenia_EIA,Bover Cemetery,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,1.560567,616971,332712,M,n/a (no relatives detected),..,..,199.1,U3c,"[0.980,0.996]",0.119,0.444,ss.half,S16117.Y1.E1.L1,PASS,..,
I16191,I16191,1826; 8,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2608,71,"779-549 calBCE (2520±20 BP, PSUAMS-7165)",..,Armenia_EIA,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,1.621508,623356,337634,M,"Armenia, Pidjut monument Family A (3 members) (I17181-I16219 have a mother-son relationship; I16191-I17181 have a 2d or 3d relationship; I16191-I16219 have a 2d or 3d relationship)",..,..,301.6,U7a,"[0.986,0.999]",0.1,0.433,ss.half,S16191.Y1.E1.L1,PASS,..,
I16193,I16193,1828; 25,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,"Context: Based on dates from other individuals at the same site (I16191, I17181, I16219, I17180)",2625,72,800-550 BCE,..,Armenia_EIA,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.562228,416226,222218,M,n/a (no relatives detected),..,..,156.7,T2,"[0.974,0.991]",0.15,0.428,ss.half,S16193.Y1.E1.L1,PASS,..,
I16195,I16195,1830; 13/2,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,"Context: Based on dates from other individuals at the same site (I16191, I17181, I16219, I17180)",2625,72,800-550 BCE,..,Armenia_EIA,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.078273,85482,45281,F,n/a (no relatives detected),n/a (female),n/a (female),19.38,N1b1a,"[0.973,0.995]",0.168,0.015,ss.half,S16195.Y1.E1.L1,PASS,..,
I17180,I17180,2819; bur 13,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2566,94,"755-420 calBCE (2460±20 BP, PSUAMS-7895)",..,Armenia_EIA,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.833059,505904,271472,M,n/a (no relatives detected),..,..,166.8,U4d3,"[0.981,0.996]",0.121,0.423913439,ss.half,S17180.Y1.E1.L1,PASS,..,
I17181,I17181,2820; bur 11,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2599,68,"776-545 calBCE (2510±20 BP, PSUAMS-7908)",adult ?,Armenia_EIA,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,1.46744,613014,331302,F,"Armenia, Pidjut monument Family A (3 members) (I17181-I16219 have a mother-son relationship; I16191-I17181 have a 2d or 3d relationship; I16191-I16219 have a 2d or 3d relationship)",n/a (female),n/a (female),284.4,T2b,"[0.988,0.998]",0.11,0.011077158,ss.half,S17181.Y1.E1.L1,PASS,..,
I16553,I16553,2215; 6,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Date(s) on relative I16536,2800,58,950-750 BCE,..,Armenia_EIA_o1,Bragdzor cemetery ,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.02355,26762,14131,M,"Armenia, Bragdzor monument Family A (3 members) (I16546-I16536 have a father-son relationship; I16546-I16553 have a sibling relationship. As expected from this family structure, the genetics are also consistent with I16553-I16536 being 2d or 3d relatives (uncle-nephew)",..,..,4.863,K1a4c,"[0.878,0.973]",0.191,0.430274136,ss.half,S16553.Y1.E1.L1,PASS,"mtcontam=[0.878,0.973]",
I16546,I16546,2213; 1,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Date(s) on relative I16536,2800,58,950-750 BCE,..,Armenia_EIA_o1_father.I16536.brother.I16553,Bragdzor cemetery ,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.177816,177980,94143,M,"Armenia, Bragdzor monument Family A (3 members) (I16546-I16536 have a father-son relationship; I16546-I16553 have a sibling relationship. As expected from this family structure, the genetics are also consistent with I16553-I16536 being 2d or 3d relatives (uncle-nephew)",..,..,35.21,K1a4c,"[0.983,0.998]",0.151,0.423309788,ss.half,S16546.Y1.E1.L1,PASS,..,
I16194,I16194,1829; 26,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,"Context: Based on dates from other individuals at the same site (I16191, I17181, I16219, I17180)",2625,72,800-550 BCE,..,Armenia_EIA_o2,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.439431,344720,183026,M,n/a (no relatives detected),..,..,84.64,K3,"[0.992,1.000]",0.144,0.429,ss.half,S16194.Y1.E1.L1,PASS,..,
I16219,I16219,1909; 4,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2590,73,"773-523 calBCE (2490±25 BP, PSUAMS-7192)",..,Armenia_EIA_o2_son.I17181,Pijut Archaeological Complex,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.63339,441205,236173,M,"Armenia, Pidjut monument Family A (3 members) (I17181-I16219 have a mother-son relationship; I16191-I17181 have a 2d or 3d relationship; I16191-I16219 have a 2d or 3d relationship)",..,..,145.5,T2b,"[0.991,0.999]",0.149,0.427,ss.half,S16219.Y1.E1.L1,PASS,..,
I16547,I16547,2214; 3,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Date(s) from same site (I16536),2800,58,950-750 BCE,..,Armenia_EIA_o3_lc,Bragdzor cemetery ,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.005378,6126,3118,M,n/a (no relatives detected),..,..,0.9658,n/a (<2x),n/a (<2x),0.189,0.383419689,ss.half,S16547.Y1.E1.L1,PASS,..,
I19322,I19322,"P5853; Noratus;Tomb 3; LM culture, EIA-2 ",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2600,70,"777-544 calBCE (2510±25 BP, PSUAMS-9004)",..,Armenia_EIA_oSouth,Noratus,Armenia,40.416667,45.2,Repulldown on 3.2M snpset,1240K,1,5.339,872401,468814,F,n/a (no relatives detected),n/a (female),n/a (female),112.3,X2,"[0.982,0.999]",0.111,0.014,ss.half,S19322.Y1.E1.L1,PASS,..,
I13947,I13947,1822; 105,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2612,74,"789-546 calBCE (2525±25 BP, UCIAMS-226536, PSUG-5442)",..,Armenia_IA,Lori Berd cemetery,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.219861,219832,121298,M,n/a (no relatives detected),..,..,57.54,T2e,"[0.989,0.999]",0.186,0.389,ds.half,S13947.Y1.E2.L1,PASS,..,
I14054,I14054,1042; 104-1,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2723,42,"809-596 calBCE (2580±25 BP, UCIAMS-226537, PSUG-5443)",..,Armenia_IA,Bardzryal Archaeological Complex ,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,3.552258,803616,445728,M,n/a (no relatives detected),..,..,392,N1b1a,"[0.982,0.996]",0.147,0.409,ds.half,S14054.Y1.E1.L1,PASS,..,
I14057,I14057,1045; 93,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2599,68,"776-545 calBCE (2510±20 BP, UCIAMS-226538, PSUG-5444)",..,Armenia_IA,Bardzryal Archaeological Complex ,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,3.0758,813223,451033,M,n/a (no relatives detected),..,..,368,HV1,"[0.987,0.999]",0.119,0.403,ds.half,S14057.Y1.E1.L1,PASS,..,
I16536,I16536,2216; 5,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2776,26,"897-798 calBCE (2670±20 BP, PSUAMS-7932)",..,Armenia_IA,Bragdzor cemetery ,Armenia,40.91666,44.5,Repulldown on 3.2M snpset,1240K,1,0.204107,201247,106621,M,"Armenia, Bragdzor monument Family A (3 members) (I16546-I16536 have a father-son relationship; I16546-I16553 have a sibling relationship. As expected from this family structure, the genetics are also consistent with I16553-I16536 being 2d or 3d relatives (uncle-nephew)",..,..,58.41,H2a,"[0.984,0.999]",0.142,0.411122145,ss.half,S16536.Y1.E1.L1,PASS,..,
I16707,I16707,Karnut 2016 Tomb 5 ∆6,tooth,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2823,33,"931-816 calBCE (2740±25 BP, PSUAMS-7829)",..,Armenia_IA,Karnut Archaeological Complex ,Armenia,40.783,43.95,Repulldown on 3.2M snpset,1240K,1,1.18793,658125,362423,M,n/a (no relatives detected),..,..,219.4,R1a1a,"[0.987,0.998]",0.13,0.413004626,ds.half,S16707.Y1.E1.L1,PASS,..,
I17184,I17184,2823; bur 8/2,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2614,73,"783-549 calBCE (2525±20 BP, PSUAMS-7898)",..,Armenia_IA,Keti,Armenia,40.8716,43.8445,Repulldown on 3.2M snpset,1240K,1,1.207478,585339,314240,M,n/a (no relatives detected),..,..,174.7,U1a1a1,"[0.986,0.997]",0.096,0.432088178,ss.half,S17184.Y1.E1.L1,PASS,damage.ss.half=0.096,
I3938,I3938,"8, Tomb 32, Cranium 3, left lower molar #2",tooth (molar),2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3001,42,"1124-939 calBCE (2875±20 BP, PSUAMS-3059)",..,Armenia_IA,"Karmir Blur, necropolis of Teishebaini",Armenia,40.15118,44.44316667,Repulldown on 3.2M snpset,1240K,1,0.245,239426,128326,M,n/a (no relatives detected),..,..,71.7,H28,"[0.974,0.986]",0.099,0.435,ds.half,S3938.E1.L1,PASS,..,
I3944,I3944,"15, Tomb 25, Cranium 1",tooth (molar),2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2934,37,"1051-919 calBCE (2835±20 BP, PSUAMS-3060)",Young adult ,Armenia_IA,"Karmir Blur, necropolis of Teishebaini",Armenia,40.15118,44.44316667,Repulldown on 3.2M snpset,1240K,1,0.051,57570,30456,M,n/a (no relatives detected),..,..,16.4,H7c5,"[0.979,0.999]",0.103,0.467,ds.half,S3944.E1.L1,PASS,..,
I17308,I17308,2824; bur 4/6,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2256,60,"394-208 calBCE (2260±20 BP, PSUAMS-9003)",..,Armenia_IA_oSouth,Keti,Armenia,40.8716,43.8445,Repulldown on 3.2M snpset,1240K,1,0.546649,303502,161024,M,n/a (no relatives detected),..,..,47.37,X2d1,"[0.989,0.999]",0.067,0.484140327,ss.half,S17308.Y1.E2.L1,PASS,damage.ss.half=0.067,
I19327,I19327,P5858; Noratus; Tomb 2; LM culture; LBA-3,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2225,50,"370-197 calBCE (2210±20 BP, PSUAMS-9005)",..,Armenia_IA_oSouth,Noratus,Armenia,40.416667,45.2,Repulldown on 3.2M snpset,1240K,1,6.243,872306,469856,M,n/a (no relatives detected),..,..,158.9,K1a19,"[0.965,0.987]",0.105,0.461,ss.half,S19327.Y1.E1.L1,PASS,..,
I1636,I1636,"AG3/30; Aghitu 3 2012, tom 1, individual 7",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,1956,38,72 BCE - 60 CE,adult; 20-25 yrs.,Armenia_LateHellenistic,Aghitu,Armenia,39.549,45.078,Repulldown on 3.2M snpset,1240K,1,3.021,835648,449800,M,"Armenia, Aghitu Family A (2 members) (I1637-I1636 have a father-son relationship [order unknown])",..,..,527,W3a1,"[0.988,0.995]",0.133,0.411,ds.half,S1636.E1.L1,PASS,..,
